table,column,group
entite,classe,eav
relation,type,eav
relation,sujet,eav
relation,objet,eav
propriete,type,eav
propriete,entite,eav
prop_text,type,eav
prop_text,entite,eav
prop_int,type,eav
prop_int,entite,eav
prop_float,type,eav
prop_float,entite,eav
prop_date,type,eav
prop_date,entite,eav
atag,tag,eav
atag,entite,eav
texte,entite,eav
texte,type,eav
lemme,graphie,nlp
lexeme,graphie,nlp
lexeme,nature,nlp
lexeme,morph_feats,nlp
lexeme,morph_hunspell,nlp
segment,classe,nlp
segment,texte,nlp
span,classe,nlp
span,texte,nlp
token,classe,nlp
token,texte,nlp
mot,texte,nlp
mot,fonction,nlp
mot,lexeme,nlp
